Country,AUS,AUT,BEL,CAN,CZE,FRA,DEU,GRC,IRL,ITA,JPN,KOR,LUX,MEX,NLD,NZL,NOR,POL,PRT,SVK,ESP
ACATHEPB,2.3,3.9,3,8.6,6.3,3.2,6.6,5.2,9,7.9,6,9.3,7.9,7.3,8.1,2.5,4.8,6.8,5.1,7.9,5.9
ACATIFLU,2.3,3.8,2.9,8.4,6.6,3,6.7,5.2,9,10.1,5.9,8.8,6.7,7.1,6.9,2.4,4.6,7.3,5.6,6.8,4.4
ACATIMMU,2.2,4,2.8,8,4.6,3,6.3,4.7,8.7,10,5.8,8.7,11.7,7,8.7,11.8,4.4,6.3,5.6,8.3,5.3
ACATMEAS,2.2,4.2,2.8,7.9,8.8,2.9,6.2,4.4,8.6,8.3,5.6,8,10,7.7,13.3,12.4,4.2,6,6.7,7.8,7.1
DGTSCTEX,2.1,4.1,2.9,8.1,4.7,2.7,5.6,9.2,7.6,11.1,11.3,7.8,10.5,4.3,13.4,14.9,3.9,5.7,6.1,8.1,4.9
DGTSMREX,2,4,2.7,8,5.4,2.7,5.7,8.9,5.5,11.6,15.5,7.9,10.1,4.2,11.6,14.7,3.6,5.7,5.7,7.5,4.8
DGTSCTHO,2,3.7,5.2,7.1,9.6,9.2,6,9,5.2,11.1,8.8,8,9.9,4.3,11.5,10.4,8.2,5.2,5.6,7.8,5
DGTSCTAM,1.9,3.5,4.8,6.7,9.3,9.7,5.3,7.6,5.5,10.3,10.8,7.7,8.9,4.1,11.4,12.8,8.2,5.2,5,6.7,4.5
DGTSMRHO,8.9,3.7,4.3,4.1,10,8.2,5.2,9,4.5,10,13.3,8.1,9.9,3.8,10.7,14.7,7.7,5.1,5.1,6.8,4.2
DGTSMRAM,9,3,4.2,3.5,9.8,6.5,5.2,7.9,4.8,9.4,11.6,8.1,9.8,3.6,11.1,12.1,7.6,5.3,5.3,6.5,4.1
DUREA000,6.6,3,4.5,3.4,9.5,5.6,5.1,7.3,4.7,9.6,12.8,7.7,9.2,3.6,11.3,10.8,7.8,5.2,4.9,6.3,3.9
DUREA100,6.7,3.1,4.6,3.3,9,7.3,4.8,7.2,5.2,9.7,9.5,7.4,9.4,10.3,10.1,10.4,7.2,5,4.7,6.2,3.8
DUREA101,5,3.5,4.4,3.2,9,7.4,4.7,6.8,4.9,10.9,6.6,7,9.5,10.7,8.9,8.8,6.9,4.8,4.8,6.1,3.8
DUREA102,7.1,3.3,4.5,2.9,9.2,5.1,4.5,7.4,8.4,10.6,7.4,7.3,9.1,9.8,8,4.7,7,4.7,4.6,5.9,3.6
DUREA103,6.8,3.3,4.7,2.8,9.3,4.9,4.1,7.6,8.7,11.9,6.2,11,5.2,9,7.9,5,6.8,4.9,6.8,5.7,3.5
DUREA104,6.6,3.3,4.6,7.8,9.1,4.6,3.9,6.4,8.5,10.7,5.9,11.2,4.8,9.3,8.2,4.3,6.5,5,6.7,5.7,3.2
DUREA105,6.2,2.9,4.3,9.2,10,3.9,8.1,7.8,8.5,9.6,5.8,11.2,4.7,8.7,8.1,4.1,6.4,4.9,6.6,5.5,3.1
DUREA106,5.3,2.9,3.9,7.7,9.5,5.7,8.2,7.4,8.6,11,5.3,11,4.5,8,7.9,4.1,5.8,6.5,6.5,5.5,5.4
DUREA200,4.5,6.5,6,8.5,8.2,5.5,8.4,7.9,8,10.9,5.4,11.5,4.5,8.5,7.6,4,5,6.5,6.3,5.2,5.2
DUREA201,3.9,6.3,5.7,8.3,8,5.6,8.1,7.6,8.4,10.7,5.4,11.9,4.6,7.6,7.4,3.9,5.6,6.3,6.1,11.4,5.1
DUREA202,4.3,6.3,5.6,7.2,7.9,5.2,8.4,7.8,8,10.4,4.9,11.3,4.2,6.9,7.3,3.8,5.6,6.2,5.9,12.5,4.9
DUREA203,3.6,5.8,5.3,8.1,7.7,4.5,8.8,7.7,8,10.2,5,10,4.2,7,7,3.8,5.8,6.3,5.7,10.6,4.8
DUREA204,3.7,5.8,5,5.6,7.4,4.7,8.2,7.6,6.4,10.4,4.7,10.3,4.1,7.6,6.9,4,5.2,6.1,5.6,11.8,4.7
DUREA205,3.1,6,5.3,5.8,7.4,4.3,7.7,8.1,7.1,10,4.9,10.2,4,7.4,6.8,3.4,5.2,6.4,5.5,10.9,4.5
